Vivado Simulator 2020.2
Time resolution is 1 ps
a =  x | b =  x | cin = x || sum =  x | carry = x || total sum =  x 
a =  0 | b =  0 | cin = 0 || sum =  0 | carry = 0 || total sum =  0 
a =  0 | b =  1 | cin = 0 || sum =  1 | carry = 0 || total sum =  1 
a =  0 | b =  2 | cin = 0 || sum =  2 | carry = 0 || total sum =  2 
a =  0 | b =  3 | cin = 0 || sum =  3 | carry = 0 || total sum =  3 
a =  0 | b =  4 | cin = 0 || sum =  4 | carry = 0 || total sum =  4 
a =  0 | b =  5 | cin = 0 || sum =  5 | carry = 0 || total sum =  5 
a =  0 | b =  6 | cin = 0 || sum =  6 | carry = 0 || total sum =  6 
a =  0 | b =  7 | cin = 0 || sum =  7 | carry = 0 || total sum =  7 
a =  0 | b =  8 | cin = 0 || sum =  8 | carry = 0 || total sum =  8 
a =  0 | b =  9 | cin = 0 || sum =  9 | carry = 0 || total sum =  9 
a =  0 | b = 10 | cin = 0 || sum = 10 | carry = 0 || total sum = 10 
a =  0 | b = 11 | cin = 0 || sum = 11 | carry = 0 || total sum = 11 
a =  0 | b = 12 | cin = 0 || sum = 12 | carry = 0 || total sum = 12 
a =  0 | b = 13 | cin = 0 || sum = 13 | carry = 0 || total sum = 13 
a =  0 | b = 14 | cin = 0 || sum = 14 | carry = 0 || total sum = 14 
a =  0 | b = 15 | cin = 0 || sum = 15 | carry = 0 || total sum = 15 
a =  0 | b =  0 | cin = 1 || sum =  1 | carry = 0 || total sum =  1 
a =  0 | b =  1 | cin = 1 || sum =  2 | carry = 0 || total sum =  2 
a =  0 | b =  2 | cin = 1 || sum =  3 | carry = 0 || total sum =  3 
a =  0 | b =  3 | cin = 1 || sum =  4 | carry = 0 || total sum =  4 
a =  0 | b =  4 | cin = 1 || sum =  5 | carry = 0 || total sum =  5 
a =  0 | b =  5 | cin = 1 || sum =  6 | carry = 0 || total sum =  6 
a =  0 | b =  6 | cin = 1 || sum =  7 | carry = 0 || total sum =  7 
a =  0 | b =  7 | cin = 1 || sum =  8 | carry = 0 || total sum =  8 
a =  0 | b =  8 | cin = 1 || sum =  9 | carry = 0 || total sum =  9 
a =  0 | b =  9 | cin = 1 || sum = 10 | carry = 0 || total sum = 10 
a =  0 | b = 10 | cin = 1 || sum = 11 | carry = 0 || total sum = 11 
a =  0 | b = 11 | cin = 1 || sum = 12 | carry = 0 || total sum = 12 
a =  0 | b = 12 | cin = 1 || sum = 13 | carry = 0 || total sum = 13 
a =  0 | b = 13 | cin = 1 || sum = 14 | carry = 0 || total sum = 14 
a =  0 | b = 14 | cin = 1 || sum = 15 | carry = 0 || total sum = 15 
a =  0 | b = 15 | cin = 1 || sum =  0 | carry = 1 || total sum = 16 
a = 15 | b = 15 | cin = 1 || sum = 15 | carry = 1 || total sum = 31 
a = 15 | b = 15 | cin = 0 || sum = 14 | carry = 1 || total sum = 30 
a = 10 | b = 15 | cin = 1 || sum = 10 | carry = 1 || total sum = 26 
a = 15 | b = 10 | cin = 1 || sum = 10 | carry = 1 || total sum = 26 
a =  8 | b =  5 | cin = 1 || sum = 14 | carry = 0 || total sum = 14 
$finish called at time : 380 ns : File "C:/Users/nages/verilog_projects/ADDERS/ADDERS.srcs/sim_1/new/ripple_carry_adder.v" Line 207
