Vivado Simulator 2020.2
Time resolution is 1 ps
Time | sa sb ra rb ea eb fa fb || sc rc ec fc || Expected || Actual || RelError %
20000 | 0 0 00 00  1  2 000000 000000 || 0 10  3 000000 || 6.9089348441e-77 || 8.0000000000e+00 || 11579208923731619542357098500868790785326998466564056403945758400791312963993600.000000%
40000 | 0 0 00 01  1  2 000000 000000 || 0 11  3 000000 || 1.2744735289e-57 || 1.4757395259e+20 || 11579208923731619542357098500868790785326998466564056403945758400791312963993600.000000%
60000 | 0 0 00 10  1  2 000000 000000 || 0 00  3 000000 || 2.3509887016e-38 || 2.3509887016e-38 || 0.000000%
80000 | 0 0 00 11  1  2 000000 000000 || 0 01  3 000000 || 4.3368086899e-19 || 4.3368086899e-19 || 0.000000%
100000 | 0 0 01 00  1  2 000000 000000 || 0 11  3 000000 || 1.2744735289e-57 || 1.4757395259e+20 || 11579208923731619542357098500868790785326998466564056403945758400791312963993600.000000%
120000 | 0 0 01 01  1  2 000000 000000 || 0 00  3 000000 || 2.3509887016e-38 || 2.3509887016e-38 || 0.000000%
140000 | 0 0 01 10  1  2 000000 000000 || 0 01  3 000000 || 4.3368086899e-19 || 4.3368086899e-19 || 0.000000%
160000 | 0 0 01 11  1  2 000000 000000 || 0 10  3 000000 || 8.0000000000e+00 || 8.0000000000e+00 || 0.000000%
180000 | 0 0 10 00  1  2 000000 000000 || 0 00  3 000000 || 2.3509887016e-38 || 2.3509887016e-38 || 0.000000%
200000 | 0 0 10 01  1  2 000000 000000 || 0 01  3 000000 || 4.3368086899e-19 || 4.3368086899e-19 || 0.000000%
220000 | 0 0 10 10  1  2 000000 000000 || 0 10  3 000000 || 8.0000000000e+00 || 8.0000000000e+00 || 0.000000%
240000 | 0 0 10 11  1  2 000000 000000 || 0 11  3 000000 || 1.4757395259e+20 || 1.4757395259e+20 || 0.000000%
260000 | 0 0 11 00  1  2 000000 000000 || 0 01  3 000000 || 4.3368086899e-19 || 4.3368086899e-19 || 0.000000%
280000 | 0 0 11 01  1  2 000000 000000 || 0 10  3 000000 || 8.0000000000e+00 || 8.0000000000e+00 || 0.000000%
300000 | 0 0 11 10  1  2 000000 000000 || 0 11  3 000000 || 1.4757395259e+20 || 1.4757395259e+20 || 0.000000%
320000 | 0 0 11 11  1  2 000000 000000 || 0 00  3 000000 || 2.7222589354e+39 || 2.3509887016e-38 || -100.000000%
340000 | 0 1 00 00  1  2 000000 000000 || 1 10  3 000000 || -6.9089348441e-77 || -8.0000000000e+00 || 11579208923731619542357098500868790785326998466564056403945758400791312963993600.000000%
360000 | 0 1 00 01  1  2 000000 000000 || 1 11  3 000000 || -1.2744735289e-57 || -1.4757395259e+20 || 11579208923731619542357098500868790785326998466564056403945758400791312963993600.000000%
380000 | 0 1 00 10  1  2 000000 000000 || 1 00  3 000000 || -2.3509887016e-38 || -2.3509887016e-38 || -0.000000%
400000 | 0 1 00 11  1  2 000000 000000 || 1 01  3 000000 || -4.3368086899e-19 || -4.3368086899e-19 || -0.000000%
